products_id,created_at,updated_at,deleted_at,name,description,price,coin,stock
005c310b-015a-4075-b3b5-575b1feb14d6,2024-06-12 03:21:16.025,2024-06-12 03:21:16.025,,Termostat Pintar,Termostat yang dapat diprogram yang menghemat energi dan uang.,1500000.0,50,500
08989b73-113e-4161-8047-9642db33fea3,2024-06-12 03:20:19.677,2024-06-12 03:20:19.677,,Lampu Hemat Energi,Bola lampu LED yang menghemat energi dan tahan lama.,58000.0,20,500
0d4dc83a-6a0c-4d38-8ae0-8a0eba8c03dc,2024-06-12 03:21:43.110,2024-06-12 03:21:43.110,,Kaus Kaki Katun Organik,"Kaus kaki yang terbuat dari 100% katun organik bersertifikat GOTS,  mengurangi frekuensi penggantian.",40000.0,30,500
0e1c5843-a637-4a92-bfa0-7c7342f51846,2024-06-12 03:20:28.684,2024-06-12 03:20:28.684,,Kertas Daur Ulang,Kertas yang terbuat dari 100% bahan daur ulang.,12000.0,5,500
0e65c6d4-15ab-435f-8b63-364df43fd70f,2024-06-12 03:20:55.718,2024-06-12 03:20:55.718,,Tisu Pembersih Biodegradable,Tisu pembersih yang terbuat dari bahan yang dapat terurai.,18000.0,5,500
23cf052f-26ce-4f99-b61c-6b1cba4e630e,2024-06-12 03:20:42.200,2024-06-12 03:20:42.200,,Matras Yoga Ramah Lingkungan,Matras yoga yang terbuat dari bahan ramah lingkungan dan tidak beracun.,72000.0,14,500
2c0819d5-5c18-4954-b99a-f796e655f8f2,2024-06-12 03:21:02.492,2024-06-12 03:21:02.492,,Deterjen Cucian Ramah Lingkungan,Deterjen cucian yang terbuat dari bahan alami.,30000.0,10,500
2dd4ca9b-d2e8-40c9-8a56-964c9db60106,2024-06-12 03:21:00.223,2024-06-12 03:21:00.223,,Handuk Katun Organik,Handuk lembut yang terbuat dari katun organik.,25000.0,8,500
30b3c9d3-3304-4da4-8cda-01052e385eb5,2024-06-12 03:20:48.959,2024-06-12 03:20:48.959,,Alat Makan Kompos,Alat makan sekali pakai yang dapat terkompos.,20000.0,8,500
4895d8dd-0231-44dc-a3a5-a7ab395d1094,2024-06-12 03:21:13.773,2024-06-12 03:21:13.773,,Masker Wajah Katun Organik,"Masker wajah yang terbuat dari 100% katun organik, lembut, bisa bernapas, dan nyaman untuk penggunaan sehari-hari. Masker ini dirancang untuk dapat digunakan kembali dan dicuci, mengurangi kebutuhan akan masker sekali pakai.",30000.0,20,500
4d1d4263-491f-4eb9-a9b3-e61c5ba812e5,2024-06-12 03:20:57.970,2024-06-12 03:20:57.970,,Tas Sandwich yang Dapat Digunakan Kembali,Tas sandwich yang terbuat dari bahan yang tahan lama dan bisa dicuci.,12000.0,6,500
4d844f6d-a1e1-44d4-8627-29ee6d06ec44,2024-06-12 03:21:04.749,2024-06-12 03:21:04.749,,Vas Kaca Daur Ulang,Vas yang terbuat dari kaca daur ulang.,20000.0,12,500
4f164404-0792-470c-89ee-3e48fd53e50c,2024-06-12 03:20:53.468,2024-06-12 03:20:53.468,,Ransel dengan Jejak Karbon Rendah,"Ransel dengan jejak karbon rendah,",800000.0,25,500
591c7cbe-3820-4ce1-991c-3294169f815b,2024-06-12 03:21:25.064,2024-06-12 03:21:25.064,,Sabun Berbasis Tumbuhan,"Sabun yang dibuat dari bahan alami, bebas dari bahan kimia sintetis dan pewangi buatan. Lembut di kulit, cocok untuk semua jenis kulit, termasuk kulit sensitif.",180000.0,35,500
5d502c20-9e83-4e84-9d93-db901a3508b5,2024-06-12 03:20:15.166,2024-06-12 03:20:15.166,,Kopi Perdagangan Adil,Biji kopi organik dan perdagangan adil.,35000.0,12,500
627efc9c-a3bf-4850-b4fa-0eac1768d042,2024-06-12 03:21:34.093,2024-06-12 03:21:34.093,,Cat Ramah Lingkungan,"Cat tidak beracun, rendah VOC yang terbuat dari bahan berkelanjutan.",500000.0,50,500
644c996a-5407-416f-86a3-b8fa9233886f,2024-06-12 03:20:46.706,2024-06-12 03:20:46.706,2024-06-11 20:21:35.850,Lampu Taman Tenaga Surya,Lampu taman yang bertenaga surya.,230000.0,20,500
66bcdf40-2544-4bec-b9be-0283a030e709,2024-06-12 03:21:45.367,2024-06-12 03:21:45.367,,Sweter Katun Organik,Pakaian lembut dan berkelanjutan yang terbuat dari katun organik bersertifikat GOTS.,650000.0,55,500
719d7f9e-7ae5-4e8a-97fe-eda6dcf8a756,2024-06-12 03:21:36.346,2024-06-12 03:21:36.346,,Kotak Makan Bambu,Kotak makan yang tahan lama dan dapat terurai yang terbuat dari bambu yang dapat diperbaharui.,220000.0,35,500
7a371522-d22e-431b-bf25-149e80809c27,2024-06-12 03:21:31.825,2024-06-12 03:21:31.825,,Organizer Meja Bambu,Solusi organisasi meja yang berkelanjutan dan serbaguna.,350000.0,32,500
7be7821a-c433-4597-bf94-a4e464cbc37e,2024-06-12 03:21:11.520,2024-06-12 03:21:11.520,,Bantalan Penghapus Riasan yang Dapat Digunakan Kembali,"Bantalan yang terbuat dari katun organik, dapat digunakan kembali dan bisa dicuci.",15000.0,6,500
7beeb22b-1928-4f72-8e9e-55525d792d89,2024-06-12 03:21:49.879,2024-06-12 03:21:49.879,,Pot Bunga dari Ban Daur Ulang,Beri kehidupan baru pada ban bekas dengan pot bunga unik ini.,200000.0,30,500
7c45085a-2466-4f5e-9ccd-bdd139751dac,2024-06-12 03:20:03.902,2024-06-12 03:20:03.902,,Sikat Gigi Biodegradable,Sikat gigi yang terbuat dari bambu dengan bulu sikat yang dapat terurai.,10000.0,7,500
7dc84308-0330-41f1-8072-ca635e5055c8,2024-06-12 03:20:08.408,2024-06-12 03:20:08.408,,Botol Air yang Dapat Digunakan Kembali,Botol air tahan lama yang terbuat dari stainless steel.,35000.0,10,500
